,influencer,title,author,subtitle,id_code,identifier_type,ISBN
0,Barack Obama,Life 3.0,Max Tegmark,Being Human in the Age of Artificial Intelligence,1101970316,ISBN,1101970316
1,Barack Obama,Pachinko,Min Jin Lee,,B01GZY28JA,ASIN,
2,Barack Obama,Men Without Women,Haruki Murakami,Stories (Vintage International),1101974524,ISBN,1101974524
3,Barack Obama,Exhalation,Ted Chiang,Stories,1101947888,ISBN,1101947888
4,Barack Obama,Why Liberalism Failed,Patrick J. Deneen,,0300240023,ISBN,0300240023
5,Barack Obama,A Gentleman in Moscow,Amor Towles,A Novel,0670026190,ISBN,0670026190
6,Barack Obama,Asymmetry,Lisa Halliday,A Novel,1501166786,ISBN,1501166786
7,Barack Obama,How to Do Nothing,Jenny Odell,Resisting the Attention Economy,1612197493,ISBN,1612197493
8,Barack Obama,"Girl, Woman, Other",Bernardine Evaristo,,0241364906,ISBN,0241364906
9,Barack Obama,Factfulness,Hans Rosling,Ten Reasons We're Wrong About the World - and Why Things Are Better Than You Think,1250107814,ISBN,1250107814
10,Barack Obama,Self Reliance,Ralph Waldo Emerson,,1545140855,ISBN,1545140855
11,Barack Obama,All the Light We Cannot See,Anthony Doerr,A Novel,1501173219,ISBN,1501173219
12,Barack Obama,Florida,Lauren Groff,,1594634521,ISBN,1594634521
13,Barack Obama,The Broken Ladder,Keith Payne,"How Inequality Affects the Way We Think, Live, and Die",0143128906,ISBN,0143128906
14,Barack Obama,Things Fall Apart,Chinua Achebe,"African Trilogy, Book 1",B004478AS4,ASIN,
15,Barack Obama,Gilead,Marilynne Robinson,A Novel,031242440X,ISBN,031242440X
16,Barack Obama,Lab Girl,Hope Jahren,,1101873728,ISBN,1101873728
17,Barack Obama,The Sixth Extinction,Elizabeth Kolbert,An Unnatural History,1250062187,ISBN,1250062187
18,Barack Obama,The Return,Hisham Matar,"Fathers, Sons and the Land in Between",0812985087,ISBN,0812985087
19,Barack Obama,Evicted,Matthew Desmond,Poverty and Profit in the American City,0553447459,ISBN,0553447459
20,Barack Obama,Normal People,Sally Rooney,A Novel,B07FS25XTW,ASIN,
21,Barack Obama,Dying,Cory Taylor,A Memoir,1941040705,ISBN,1941040705
22,Barack Obama,Educated,Tara Westover,A Memoir,0525589988,ISBN,0525589988
23,Barack Obama,The World as It Is,Ben Rhodes,A Memoir of the Obama White House,0525509372,ISBN,0525509372
24,Barack Obama,The Moment of Lift,Melinda Gates,How Empowering Women Changes the World,1250313570,ISBN,1250313570
25,Barack Obama,An American Marriage,Tayari Jones,A Novel,1616208686,ISBN,1616208686
26,Barack Obama,American Spy,Lauren Wilkinson,A Novel,0812998952,ISBN,0812998952
27,Barack Obama,The Topeka School,Ben Lerner,A Novel,0374277788,ISBN,0374277788
28,Barack Obama,Tough Love,Susan Rice,My Story of the Things Worth Fighting For,1501189972,ISBN,1501189972
29,Barack Obama,The Shallows,Nicholas Carr,What the Internet Is Doing to Our Brains,0393339750,ISBN,0393339750
30,Barack Obama,Truth Decay,Michael D. Rich,An Initial Exploration of the Diminishing Role of Facts and Analysis in American Public Life,B0798MNSQL,ASIN,
31,Barack Obama,A Grain of Wheat,Ngugi wa Thiong'o,,0143106767,ISBN,0143106767
32,Barack Obama,Basketball,Shea Serrano,"A Collection of Questions Asked, Answered, Illustrated",1419726471,ISBN,1419726471
33,Barack Obama,The Girl on the Train,Paula Hawkins,,1594633665,ISBN,1594633665
34,Barack Obama,How Democracies Die,Steven Levitsky,,B071L5C5HG,ASIN,
35,Barack Obama,The Source of Self-Regard,Toni Morrison,"Selected Essays, Speeches, and Meditations",0525562796,ISBN,0525562796
36,Barack Obama,Abraham Lincoln,Abraham Lincoln,Selected Speeches and Writings,1598530534,ISBN,1598530534
37,Barack Obama,The Education of an Idealist,Samantha Power,A Memoir,0062820699,ISBN,0062820699
38,Barack Obama,The Largesse of the Sea Maiden,Denis Johnson,Stories,0812988655,ISBN,0812988655
39,Barack Obama,Trust Exercise,Susan Choi,A Novel,1250309883,ISBN,1250309883
40,Barack Obama,Seveneves,Neal Stephenson,A Novel,0062334514,ISBN,0062334514
41,Barack Obama,How to Read the Air,Dinaw Mengestu,,0679763880,ISBN,0679763880
42,Barack Obama,Long Walk to Freedom,Nelson Mandela,The Autobiography of Nelson Mandela,0316323543,ISBN,0316323543
43,Barack Obama,"Immigrant, Montana",Amitava Kumar,A Novel,0525436677,ISBN,0525436677
44,Barack Obama,Frederick Douglass,David W. Blight,Prophet of Freedom,1416590323,ISBN,1416590323
45,Barack Obama,Becoming,Michelle Obama,,1524763136,ISBN,1524763136
46,Barack Obama,There There,Tommy Orange,A Novel,0525436146,ISBN,0525436146
47,Barack Obama,Feel Free,Zadie Smith,Essays,014311025X,ISBN,014311025X
48,Barack Obama,Trick Mirror,Jia Tolentino,Reflections on Self-Delusion,0525510540,ISBN,0525510540
49,Barack Obama,The Power,Naomi Alderman,,0316547603,ISBN,0316547603
50,Barack Obama,Washington Black,Esi Edugyan,A Novel,0525563245,ISBN,0525563245
51,Barack Obama,Americanah,Chimamanda Ngozi Adichie,,0307455920,ISBN,0307455920
52,Barack Obama,The Oxford Shakespeare,William Shakespeare,The Complete Works,0199267170,ISBN,0199267170
53,Barack Obama,The Lowland,Jhumpa Lahiri,,0307278263,ISBN,0307278263
54,Barack Obama,H Is for Hawk,Helen Macdonald,,0802124739,ISBN,0802124739
55,Barack Obama,Exit West,Mohsin Hamid,A Novel,0735212201,ISBN,0735212201
56,Barack Obama,Anything Is Possible,Elizabeth Strout,A Novel,0812989414,ISBN,0812989414
57,Barack Obama,The Anarchy,William Dalrymple,"The East India Company, Corporate Violence, and the Pillage of an Empire",1635573955,ISBN,1635573955
58,Barack Obama,The Heartbeat of Wounded Knee,David Treuer,Native America from 1890 to the Present,0399573194,ISBN,0399573194
59,Barack Obama,Moby Dick,Herman Melville,,0486432157,ISBN,0486432157
60,Barack Obama,Song of Solomon,Toni Morrison,,140003342X,ISBN,140003342X
61,Barack Obama,Between the World and Me,Ta-Nehisi Coates,,1925240703,ISBN,1925240703
62,Barack Obama,The Warmth of Other Suns,Isabel Wilkerson,The Epic Story of America's Great Migration,1594485399,ISBN,1594485399
63,Barack Obama,The Age of Surveillance Capitalism,Shoshana Zuboff,The Fight for a Human Future at the New Frontier of Power,B01N2QEZE2,ASIN,
64,Barack Obama,The Sixth Man,Andre Iguodala,A Memoir,0525533982,ISBN,0525533982
65,Barack Obama,A House for Mr. Biswas,V. S. Naipaul,A Novel,0375707166,ISBN,0375707166
66,Barack Obama,The Shadow of Sirius,W.S. Merwin,,1556593104,ISBN,1556593104
