,influencer,title,author_x,subtitle,id_code,identifier_type,author_y,title_en,title_pt,isbn_pt,img_amz
0,Barack Obama,Life 3.0,Max Tegmark,Being Human in the Age of Artificial Intelligence,1101970316,ISBN,Max Tegmark,Life 3.0,Vida 3.0,6558100266,"https://images-na.ssl-images-amazon.com/images/I/511InEZujZL._SX351_BO1,204,203,200_.jpg"
1,Bill Gates,Life 3.0,Max Tegmark,Being Human in the Age of Artificial Intelligence,1101970316,ISBN,Max Tegmark,Life 3.0,Vida 3.0,6558100266,"https://images-na.ssl-images-amazon.com/images/I/511InEZujZL._SX351_BO1,204,203,200_.jpg"
4,Elon Musk,Life 3.0,Max Tegmark,Being Human in the Age of Artificial Intelligence,1101970316,ISBN,Max Tegmark,Life 3.0,Vida 3.0,6558100266,"https://images-na.ssl-images-amazon.com/images/I/511InEZujZL._SX351_BO1,204,203,200_.jpg"
5,Barack Obama,Men Without Women,Haruki Murakami,Stories (Vintage International),1101974524,ISBN,Haruki Murakami,Men Without Women,Homens sem mulheres,857962438X,"https://images-na.ssl-images-amazon.com/images/I/41tV-ldPbCL._SX316_BO1,204,203,200_.jpg"
7,Barack Obama,Exhalation,Ted Chiang,Stories,1101947888,ISBN,Ted Chiang,Exhalation,,,"https://images-na.ssl-images-amazon.com/images/I/41aquxIBDmL._SX326_BO1,204,203,200_.jpg"
9,Tim Ferriss,Exhalation,Ted Chiang,Stories,1101947888,ISBN,Ted Chiang,Exhalation,,,"https://images-na.ssl-images-amazon.com/images/I/41aquxIBDmL._SX326_BO1,204,203,200_.jpg"
10,Barack Obama,Why Liberalism Failed,Patrick J. Deneen,,300240023,ISBN,Patrick J. Deneen,Why Liberalism Failed,Por que o liberalismo fracassou?,8592649595,"https://images-na.ssl-images-amazon.com/images/I/31DuwgF4CgL._SX283_BO1,204,203,200_.jpg"
12,Barack Obama,A Gentleman in Moscow,Amor Towles,A Novel,670026190,ISBN,Amor Towles,A Gentleman in Moscow,Um Cavalheiro em Moscou,8551002716,"https://images-na.ssl-images-amazon.com/images/I/51GFj6hAjWL._SX345_BO1,204,203,200_.jpg"
13,Bill Gates,A Gentleman in Moscow,Amor Towles,A Novel,670026190,ISBN,Amor Towles,A Gentleman in Moscow,Um Cavalheiro em Moscou,8551002716,"https://images-na.ssl-images-amazon.com/images/I/51GFj6hAjWL._SX345_BO1,204,203,200_.jpg"
16,Melinda Gates,A Gentleman in Moscow,Amor Towles,A Novel,670026190,ISBN,Amor Towles,A Gentleman in Moscow,Um Cavalheiro em Moscou,8551002716,"https://images-na.ssl-images-amazon.com/images/I/51GFj6hAjWL._SX345_BO1,204,203,200_.jpg"
